user_id,interests,num_enrolled,num_rated,enrolled_course_indices,enrolled_course_names,ratings
omar_ml_1,linear,9,3,1003|786|2153|125|1877|3472|1244|74|2565,Preventing Chronic Pain: A Human Systems Approach|Predicting Salaries with Simple Linear Regression in R|Statistical Forecasting Techniques in Google Sheets|Mathematics for Machine Learning: Linear Algebra|Predict Housing Prices in R on Boston Housing Data|First Steps in Linear Algebra for Machine Learning|Mathematics for Machine Learning: Multivariate Calculus|Predictive Modeling and Analytics|Approximation Algorithms,125:5|2565:5|1877:5
tom_io_2,business-strategy|economics,10,5,2955|3311|2755|1698|99|640|2478|1729|3140|60,Introduction to Neuroeconomics: How the Brain Makes Decisions|Agile Projects: Defining Epics and Mapping Value with Taiga|Selling to Chinese Consumers|Greening the Economy: Lessons from Scandinavia|Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development|Construction Cost Estimating and Cost Control|Earth Economics|Sales & Marketing Alignment|Business English: Finance and Economics|Change Leadership: Developing Force Field Analysis in Miro,640:5|60:5|99:5|2478:4|2955:5
omar_xyz_3,investment|computing,12,6,419|2703|1055|2511|623|3028|2600|1216|1672|1262|1379|3521,Finance for Non-Financial Managers|Tools for Data Science|Capstone: Build a Winning Investment Portfolio|Seeking Investment Alpha|Parallel Programming in Java|Designing data-intensive applications|Capital Markets and Financial Institutions � How to Survive Them|Computer Architecture|Alternative Approaches to Valuation and Investment|Create Your First NoSQL Database with MongoDB and Compass|Databases and SQL for Data Science|Architecting with Google Kubernetes Engine: Production,3028:5|3521:5|2511:4|623:4|2703:4|1672:5
tom_io_4,memory,6,3,2062|2026|771|2408|408|1697,"Building Digital Media using Graphic Design in Google Slides|The Brain and Space|Learn to Teach Java:  Writing Classes and Arrays|Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course)|Sequences, Time Series and Prediction|Introduction to Engineering Mechanics",2026:4|408:4|771:5
penny_hub_5,research,13,9,926|802|735|989|3286|179|2158|581|1281|1778|2599|1950|15,"Human-Centered Design: an Introduction|Extracellular Vesicles in Health and Disease|Methods and Statistics in Social Science - Final Research Project|Engineering Life: Synbio, Bioethics & Public Policy|International Law in Action: A Guide to the International Courts and Tribunals in The Hague|Portfolio Optimization using Markowitz Model|Climate Change Mitigation in Developing Countries|Aromatherapy: Clinical Use of Essential Oils|Research kitchen|User Experience: Research & Prototyping|Social Computing|idea 2 IMPACT: An Introduction to Translating Assistive Health Technologies and Other Products|Global Health: An Interdisciplinary Overview",735:5|2599:5|15:5|2158:3|802:5|1778:5|989:5|3286:4|581:5
hank_pro_6,conversant|cloud-computing,13,6,505|3328|402|597|1797|476|1066|3021|325|2722|450|2886|1342,"On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform|Cybersecurity and Its Ten Domains|Troubleshooting and Debugging Techniques|Cloud Applications|Data Collection and Processing with Python|Cloud Computing Basics (Cloud 101)|Learning How to Learn: Powerful mental tools to help you master tough subjects|Operating Systems and You: Becoming a Power User|Building Web Applications in Django|Cleaning, Reshaping, and Expanding Datasets in Python|Reinforcement Learning for Trading Strategies|Python for Data Science and AI|Management of Urban Infrastructures � part 1",476:4|402:3|325:4|450:5|505:5|1342:4
peter_xyz_7,software-development,9,6,1656|2486|2207|1274|2024|1420|1731|505|3254,Learn to Program: The Fundamentals|Blockchain Platforms|1E Test: How Computers Work|Java Programming: Build a Recommendation System|Java Built in Data Structures|Project: Creating Your First C++ Application|Advanced Relational Database and SQL|On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform|Introduction to Relational Database and SQL,1731:4|1420:3|1274:3|2024:5|3254:5|1656:3
uma_dev_8,development,15,6,2223|3496|650|750|3418|567|1559|2391|1735|1745|3391|2712|3159|503|2277,"Advanced App Development in Android Capstone|Requirements Gathering for Secure Software Development|Write Professional Emails in English|Managing an Agile Team|HTML and CSS: Building a Single-Page Website|Create Interactive Dashboards with Streamlit and Python|Create Your First Game with Python|Agile Software Development|Advanced Styling with Responsive Design|Software Design as an Element of the Software Development Lifecycle|Intermediate Object-Oriented Programming with Java|Global Disease Masterclass: Communicable Diseases Epidemiology, Intervention and Prevention|Create Your First Web App with Python and Flask|Software Processes and Agile Practices|Developing Android Apps with App Inventor",1559:5|567:5|2277:3|3159:4|2391:4|2223:5
peter_edu_9,personal-development,10,7,692|2653|2095|1553|731|2164|1174|1293|2054|531,"Achieving Your Optimal Performance|Strategic Career Self-Management|Conflict Management Project|Leading for Equity, Diversity and Inclusion in Higher Education|Learning How To Learn for Youth|Creative Problem Solving|Job Success: Get Hired or Promoted in 3 Steps|Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential|Think Again II: How to Reason Deductively|Writing and Editing: Word Choice and Word Order",1553:5|2095:4|1174:3|531:4|1293:5|2653:5|2164:4
tom_io_10,classification|interface|marketing,11,4,172|1690|1484|178|2930|2195|1711|3331|3409|1441|411,"Building Containerized Applications on AWS|Identifying Social Entrepreneurship Opportunities|Preparing for the Google Cloud Associate Cloud Engineer Exam|Using Python to Interact with the Operating System|Support Vector Machines in Python, From Start to Finish|Launch Strategy: 5 Steps to Capstone Experience|Prototyping and Design|Version Control with Git|Positioning: What you need for a successful Marketing Strategy|Interacting with the System and Managing Memory|Build a Deep Learning Based Image Classifier with R",3409:5|1690:5|1484:4|1441:3
kyle_edu_11,platforms|data|html,15,6,2822|2677|3007|712|788|3262|410|894|3464|971|233|2070|3469|1955|2375,"Genomic Data Science and Clustering (Bioinformatics V)|Algorithms, Part I|Unordered Data Structures|Privacy in the Western World|How Google does Machine Learning|Custom Reports in Google Analytics|IBM Data Topology|Getting Started with Blazor WASM|Big Data Integration and Processing|Responsive Website Tutorial and Examples|Reproducible Research|FIFA20 Data Exploration using Python|Google Cloud Platform Fundamentals: Core Infrastructure|Machine Learning for Business Professionals|Creating Advanced Reports with SAS Visual Analytics",712:5|3464:4|788:4|3007:5|3262:5|2677:5
penny_io_12,graphics,9,5,1189|2705|239|2958|477|3396|1430|1572|1829,"Data Visualization|3D Graphics in Android: Sensors and VR|Applied Plotting, Charting & Data Representation in Python|Presentation skills: Designing Presentation Slides|Images and Links in HTML|Advanced Deployment Scenarios with TensorFlow|Ideas from the History of Graphic Design|Accessible Landing Page Solutions in XD|3D Models for Virtual Reality",3396:5|2958:4|1829:5|1430:3|239:5
rosa_dev_13,theory,13,5,612|981|829|3429|1477|1850|363|2577|571|1068|3004|1635|1381,"Computational Neuroscience|Firm Level Economics: Markets and Allocations|Portfolio and Risk Management|Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital|Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious|The Evolving Universe|Data Science Math Skills|Probability Theory, Statistics and Exploratory Data Analysis|Interpersonal, Developmental, and Evolutionary Perspectives of the Mind|Fundamentals of Modern Russian-designed NPPs with VVER-1200|Becoming a Social Entrepreneur: Getting Started|Information Theory|Strategic Business Management - Microeconomics",1850:3|1068:4|571:5|829:5|363:5
